"시도코드","시도명","시군구코드","시군구명","읍면동코드","읍면동명","기준연도","연도","과거대비인구변화","최근인구변화","과거대비사업체변화","최근사업체변화","노후건축물비율"
"48",경상남도,"48310",경상남도 거제시,"3809034 ",거제면,"2016","2016",-41,2,4.71,1,64.67
"48",경상남도,"48310",경상남도 거제시,"3809031 ",일운면,"2016","2016",-45.36,2,6.37,0,58.87
"48",경상남도,"48310",경상남도 거제시,"3809058 ",고현동,"2013","2013",,,3.52,0,37.79
"48",경상남도,"48310",경상남도 거제시,"3809059 ",상문동,"2014","2014",,,3.09,0,26.7
"26",부산광역시,"26350",부산광역시 해운대구,"2109074 ",우2동,"2018","2018",15.82,2,6.13,0,62.66
"26",부산광역시,"26350",부산광역시 해운대구,"2109074 ",우2동,"2017","2017",15.82,2,17.23,0,67.78
"26",부산광역시,"26350",부산광역시 해운대구,"2109073 ",우1동,"2017","2017",19.95,3,0.1,1,79.86
"26",부산광역시,"26350",부산광역시 해운대구,"2109066 ",좌1동,"2019","2019",2.99,5,-0.64,1,53.5
"26",부산광역시,"26350",부산광역시 해운대구,"2109056 ",송정동,"2013","2013",40.02,1,-0.45,1,46.56
"26",부산광역시,"26350",부산광역시 해운대구,"2109053 ",중1동,"2013","2013",5.87,1,0.79,2,66.77
"26",부산광역시,"26350",부산광역시 해운대구,"2109051 ",우1동,"2014","2014",8.26,0,4.87,1,75.3
"42",강원도,"42720",강원도 홍천군,"3231039 ",내면,"2017","2017",-55.85,5,-1.38,1,49.02
"42",강원도,"42720",강원도 홍천군,"3231037 ",서면,"2017","2017",-31.53,1,-1.03,1,46.74
"42",강원도,"42720",강원도 홍천군,"3231034 ",서석면,"2018","2018",-51.06,3,3.8,1,42.88
"42",강원도,"42720",강원도 홍천군,"3231037 ",서면,"2013","2013",-51.82,0,6.99,0,39.81
"42",강원도,"42720",강원도 홍천군,"3231032 ",두촌면,"2013","2013",-67.01,1,-16.87,2,37.78
"42",강원도,"42720",강원도 홍천군,"3231039 ",내면,"2014","2014",-59.78,5,-5.88,2,39.96
"42",강원도,"42720",강원도 홍천군,"3231036 ",남면,"2014","2014",-56.81,1,-9.46,3,50.82
"50",제주특별자치도,"50130",제주특별자치도 서귀포시,"3902013 ",성산읍,"2014","2014",-46.12,,,,
