시군구코드,연도,시군구명,노령화지수(인구총조사),노령화지수(인구총조사)등급,인구순이동률,인구순이동률등급,인구변화율(인구총조사),인구변화율(인구총조사)등급,평균교육년수,평균교육년수등급,독거노인가구비율,독거노인가구비율등급,기초생활수급자(천인당),기초생활수급자(천인당)등급,소년소녀가장(천인당),소년소녀가장(천인당)등급,노령화지수(주민등록인구통계),노령화지수(주민등록인구통계)등급,인구변화율(주민등록인구통계),인구변화율(주민등록인구통계)등급,고령인구수(인구총조사),고령인구수(인구총조사)등급,고령인구수(주민등록인구통계),고령인구수(주민등록인구통계)등급,노년부양비(인구총조사),노년부양비(인구총조사)등급,노년부양비(주민등록인구통계),노년부양비(주민등록인구통계)등급,세입자가구비율,세입자가구비율등급,경제활동인구(인구총조사),경제활동인구(인구총조사)등급,경제활동인구(주민등록인구통계),경제활동인구(주민등록인구통계)등급,종사자수(천명당),종사자수(천명당)등급,사업체당종사자수,사업체당종사자수등급,제조업종사자비율,제조업종사자비율등급,고차산업종사자비율,고차산업종사자비율등급,재정자립도,재정자립도등급,지방세액(1인당),지방세액(1인당)등급,지가변동률(주거),지가변동률(주거)등급,지가변동률(상업),지가변동률(상업)등급,의료보험료,의료보험료등급,도소매업종사자수(천명당),도소매업종사자수(천명당)등급,총사업체수증감율,총사업체수증감율등급,총종사자수증감율,총종사자수증감율등급,도소매업체증감율,도소매업체증감율등급,제조업체증감율,제조업체증감율등급,주요산업별종사자수,주요산업별종사자수등급,총사업체수,총사업체수등급,노후주택비율,노후주택비율등급,신규주택비율,신규주택비율등급,공가율,공가율등급,부동산공시지가,부동산공시지가등급,노후건축물비율,노후건축물비율등급,소형주택비율,소형주택비율등급,주거면적(1인당),주거면적(1인당)등급,주택보급율,주택보급율등급,접도율,접도율등급
11710,2024,서울특별시 송파구,,,-0.692805833,5,,,,,,,,,,,162.2163701,3,-0.62002611,6,,,113957,9,,,24.45938318,3,,,,,465903,9,,,,,,,,,31.9,8,,,0.242,9,0.138,7,,,,,,,,,,,,,,,,,73.82209586,6,,,,,3.060919116,5,75.79488701,7,,,,,,,34.03053894,7
11740,2024,서울특별시 강동구,,,3.708207707,10,,,,,,,,,,,172.4352073,3,3.871140565,10,,,89687,8,,,26.75283302,3,,,,,335243,8,,,,,,,,,21.95,6,,,0.235,9,0.271,9,,,,,,,,,,,,,,,,,69.91606123,5,,,,,5.635829667,5,71.57800526,7,,,,,,,30.03542244,6
26110,2024,부산광역시 중구,,,-1.88613901,4,,,,,,,,,,,832.2161423,10,-2.801729719,4,,,12167,3,,,50.89091517,6,,,,,23908,3,,,,,,,,,22.05,6,,,0.002,4,0.087,6,,,,,,,,,,,,,,,,,91.28256513,8,,,,,3.548984051,5,86.74509804,9,,,,,,,32.97660076,7
26140,2024,부산광역시 서구,,,-0.07462108,6,,,,,,,,,,,380.9643081,6,-0.865605395,5,,,30420,5,,,46.95676335,6,,,,,64783,3,,,,,,,,,12.43,3,,,0.036,4,0.117,6,,,,,,,,,,,,,,,,,91.86827339,9,,,,,-0.357847484,3,88.79586488,9,,,,,,,32.95921798,7
26170,2024,부산광역시 동구,,,-1.439862183,4,,,,,,,,,,,436.1148878,6,-2.142564243,4,,,25661,3,,,47.20045617,6,,,,,54366,3,,,,,,,,,16.56,5,,,0.122,6,0.106,6,,,,,,,,,,,,,,,,,93.24442714,9,,,,,3.331372348,5,91.15656604,9,,,,,,,23.85465234,5
26200,2024,부산광역시 영도구,,,-1.692742223,4,,,,,,,,,,,489.7033898,7,-2.63824755,4,,,34671,5,,,55.93359791,7,,,,,61986,3,,,,,,,,,9.25,3,,,0.045,4,0.064,5,,,,,,,,,,,,,,,,,93.45938221,9,,,,,-2.340647003,4,87.50717743,9,,,,,,,20.76476152,5
26230,2024,부산광역시 부산진구,,,0.285848681,6,,,,,,,,,,,272.2907011,5,-0.063141849,6,,,82839,8,,,33.67178958,5,,,,,246019,7,,,,,,,,,19.04,5,,,0.086,5,0.095,6,,,,,,,,,,,,,,,,,89.97148289,8,,,,,3.047218738,5,86.38367644,9,,,,,,,46.76643164,9
26260,2024,부산광역시 동래구,,,1.520209935,8,,,,,,,,,,,190.5528801,3,1.312704245,8,,,60935,6,,,33.58095857,5,,,,,181457,6,,,,,,,,,19.2,6,,,0.131,6,0.257,9,,,,,,,,,,,,,,,,,88.18208778,8,,,,,0.912363379,3,84.59357765,8,,,,,,,48.05298829,9
26290,2024,부산광역시 남구,,,0.523776218,6,,,,,,,,,,,252.0353837,5,0.123138659,6,,,61542,6,,,36.51520725,5,,,,,168538,6,,,,,,,,,18.43,5,,,0.025,4,0.103,6,,,,,,,,,,,,,,,,,88.65475858,8,,,,,2.544947645,5,84.72032742,8,,,,,,,46.14448601,9
26320,2024,부산광역시 북구,,,-1.866323984,4,,,,,,,,,,,251.5665744,5,-2.157926285,4,,,62708,7,,,34.82674931,5,,,,,180057,6,,,,,,,,,10.69,3,,,0.063,5,0.169,7,,,,,,,,,,,,,,,,,87.62124711,8,,,,,0.520161011,3,84.11298882,8,,,,,,,35.29763273,7
26350,2024,부산광역시 해운대구,,,-0.709078543,5,,,,,,,,,,,211.4156291,3,-1.062957356,5,,,83543,8,,,32.97598137,3,,,,,253345,7,,,,,,,,,26.22,7,,,0.175,7,0.238,8,,,,,,,,,,,,,,,,,91.09101788,8,,,,,0.624840131,3,84.13842482,8,,,,,,,40.26742546,8
26380,2024,부산광역시 사하구,,,-1.32927167,4,,,,,,,,,,,283.4647821,5,-1.792963123,4,,,72601,7,,,37.36964556,5,,,,,194278,6,,,,,,,,,17.68,5,,,0.015,4,0.03,5,,,,,,,,,,,,,,,,,92.96631234,9,,,,,0.812824186,3,86.74925741,9,,,,,,,29.31001801,6
26410,2024,부산광역시 금정구,,,-2.063048987,4,,,,,,,,,,,345.6853104,6,-2.624425994,4,,,56243,6,,,40.92811038,5,,,,,137419,5,,,,,,,,,15.93,5,,,0.101,6,0.069,5,,,,,,,,,,,,,,,,,86.49653434,8,,,,,1.766148296,3,81.55279226,8,,,,,,,43.81949832,8
26440,2024,부산광역시 강서구,,,0.077737081,6,,,,,,,,,,,81.94582982,3,0.275990899,7,,,21360,3,,,22.3986242,3,,,,,95363,5,,,,,,,,,41.59,10,,,0.098,5,-0.018,4,,,,,,,,,,,,,,,,,63.9021261,3,,,,,8.605012563,5,47.5823879,3,,,,,,,23.37015307,5
26470,2024,부산광역시 연제구,,,3.440911806,10,,,,,,,,,,,225.2149524,3,3.31590253,10,,,48982,6,,,34.52889509,5,,,,,141858,5,,,,,,,,,17.19,5,,,0.138,6,-0.174,4,,,,,,,,,,,,,,,,,88.31741367,8,,,,,0.4794973,3,84.39395982,8,,,,,,,50.46672568,10
26500,2024,부산광역시 수영구,,,-1.134261683,4,,,,,,,,,,,315.6666189,5,-1.489817669,4,,,44086,5,,,38.7174398,5,,,,,113866,5,,,,,,,,,17.58,5,,,0.172,7,0.17,7,,,,,,,,,,,,,,,,,84.50834879,7,,,,,1.721908718,3,81.99986358,8,,,,,,,36.56124594,7
26530,2024,부산광역시 사상구,,,-1.673421099,4,,,,,,,,,,,321.2534782,5,-2.117458065,4,,,48490,6,,,35.90495442,5,,,,,135051,5,,,,,,,,,17.97,5,,,0.065,5,-0.008,4,,,,,,,,,,,,,,,,,93.45418912,9,,,,,0.328485414,3,79.52555775,8,,,,,,,42.03859126,8
26710,2024,부산광역시 기장군,,,-1.524831175,4,,,,,,,,,,,138.4416841,3,-1.736148023,4,,,34328,5,,,29.46558857,3,,,,,116502,5,,,,,,,,,27.76,7,,,0.224,8,0.185,7,,,,,,,,,,,,,,,,,55.05372065,3,,,,,2.566496438,5,44.78051392,3,,,,,,,17.81493747,5
27110,2024,대구광역시 중구,,,8.713450891,10,,,,,,,,,,,155.6459289,3,9.708748765,10,,,17988,3,,,26.38852214,3,,,,,68166,3,,,,,,,,,25.33,7,,,0.114,6,0.09,6,,,,,,,,,,,,,,,,,83.07372793,7,,,,,86.51264482,10,82.23137093,8,,,,,,,51.8635472,10
27140,2024,대구광역시 동구,,,0.166501626,6,,,,,,,,,,,238.641928,5,-0.138267802,6,,,80902,8,,,35.55569229,5,,,,,227536,6,,,,,,,,,15.97,5,,,0.07,5,0.083,6,,,,,,,,,,,,,,,,,79.96686129,7,,,,,64.71558991,10,74.15701707,7,,,,,,,31.92371476,7
27170,2024,대구광역시 서구,,,0.06436387,6,,,,,,,,,,,394.1863506,6,-0.58078592,6,,,45225,6,,,42.48992362,5,,,,,106437,5,,,,,,,,,13.13,3,,,0.04,4,0.063,5,,,,,,,,,,,,,,,,,93.3166515,9,,,,,31.45785941,7,88.34424128,9,,,,,,,54.51159051,10
27200,2024,대구광역시 남구,,,-1.387023623,4,,,,,,,,,,,418.3017404,6,-2.100770905,4,,,37735,5,,,42.15871384,5,,,,,89507,5,,,,,,,,,11.08,3,,,0.054,4,0.036,5,,,,,,,,,,,,,,,,,86.01148184,8,,,,,32.51469378,7,85.60455683,9,,,,,,,51.90015664,10
