cell_id,ix,iy,cell_area_m2,impervious_area,impervious_ratio,veg_area,veg_ratio,elev_mean,elev_min,slope_mean,slope_max,flood_area,flood_ratio,flood_label,flood_proba
27_63,27,63,9975.95536163251,9975.955361632885,1.0000000000000373,0.0,0.0,22.47887153625488,20.88490867614746,2.436912330060657,4.985601938354542,814.7800261577482,0.0816743857226335,1,0.7856222740223965
27_64,27,64,9975.8372110882,9975.837211089189,1.0000000000000988,0.0,0.0,20.669282341003417,18.82740592956543,3.886659393242108,7.204786342797521,2383.0942684194506,0.2388866435962515,1,0.7992605951987731
27_65,27,65,9975.719058258266,5575.639813831915,0.5589210944364151,4400.079244421107,0.4410789055630592,19.112894439697264,16.96800994873047,3.655679828248803,4.935115192590664,553.389709298803,0.0554736662156385,1,0.6097114237119303
27_66,27,66,9975.600902706312,7220.997024431704,0.7238658698217064,1888.3721659827595,0.1892990892879903,17.42625509897868,13.539328575134276,3.4740370307633572,5.236050469556141,1797.6687336582177,0.1802065611075642,1,0.08097636761753664
27_67,27,67,9975.48274481636,9474.082982181895,0.9497367921472264,501.39976263557145,0.0502632078528849,16.689444541931152,13.233901977539062,3.610355202554046,7.495959986005535,0.0,0.0,0,0.0
27_68,27,68,9975.364584280174,9491.256387023735,0.9514696236747752,484.1081972543201,0.0485303763250126,16.99281587600708,12.83738136291504,3.7950599922180337,7.650919929352081,0.0,0.0,0,0.0
27_69,27,69,9975.24642128975,9474.705573758829,0.9498217060119296,500.54084753239647,0.0501782939882179,14.595210456848145,10.47741413116455,5.921673037177767,14.317154742304416,0.0,0.0,0,0.004710173948947808
27_70,27,70,9975.128255990356,9974.365606140052,0.999923544857697,0.7626498472772452,7.645514199972834e-05,15.927433204650878,10.799637794494627,5.4499721212990915,10.568380015835425,0.0,0.0,0,0.008990056941499059
27_71,27,71,9975.010087981158,9975.010087988225,1.0000000000007083,0.0,0.0,17.49069118499756,14.95129108428955,3.840926375767938,8.785651862583366,0.0,0.0,0,0.002847459169282562
27_72,27,72,9974.89191768639,9974.891917682768,0.999999999999637,0.0,0.0,17.62137680053711,17.096853256225586,1.3233761430951196,3.2160628584391606,0.0,0.0,0,0.01195022837665318
27_73,27,73,9974.77374461724,9974.773744619146,1.0000000000001912,0.0,0.0,17.9991943359375,17.02790069580078,2.190369888600062,6.139806595419546,0.0,0.0,0,0.1354475721399233
27_74,27,74,9974.655569314808,9974.655569318777,1.0000000000003977,0.0,0.0,17.062255732218425,15.60405445098877,2.7654658169113806,7.069125464176136,0.0,0.0,0,0.00527602606917211
27_75,27,75,9974.537391406946,8831.463929769028,0.8854008545175565,1143.0734616283323,0.1145991454814825,18.102129554748537,8.500920295715332,7.643322869453661,15.47281600102104,0.0,0.0,0,0.027555628500771878
27_76,27,76,9974.419211102975,7854.110002188263,0.7874252962463717,2120.309208920777,0.2125747037542361,26.88802318572998,25.175207138061523,5.895461483015219,15.368586954125709,0.0,0.0,0,0.11015613485322748
27_77,27,77,9974.301028094338,8166.754181737617,0.8187795975612272,1807.546846359257,0.181220402439027,20.172033882141115,17.532058715820312,3.5047218245092693,6.879526093671616,0.0,0.0,0,0.4915063538032942
27_78,27,78,9974.182842811582,9974.182842812132,1.000000000000055,0.0,0.0,18.83344860076904,16.998132705688477,2.815501123644111,4.953565339770167,0.0,0.0,0,0.07425903048657778
27_79,27,79,9974.064654836446,9974.064654836606,1.000000000000016,0.0,0.0,17.2920171101888,15.306379318237305,2.547204134048888,3.9063085106204785,0.0,0.0,0,0.0
27_80,27,80,9973.946464534887,9971.134099270794,0.9997180288390264,2.812365265514284,0.000281971161116,17.363057327270507,16.20596694946289,1.5571074323807883,2.4449927416162622,0.0,0.0,0,0.0
27_81,27,81,9973.828271750184,9973.828271748129,0.999999999999794,0.0,0.0,17.46639404296875,16.50522804260254,1.2992907687678628,1.90476707991695,0.0,0.0,0,0.003196955766676882
27_82,27,82,9973.710076348065,9973.71007635133,1.0000000000003275,0.0,0.0,17.325687980651857,16.601032257080078,2.202821367680648,3.656949074076378,0.0,0.0,0,0.010763208551723105
27_83,27,83,9973.591878596622,3329.939521561882,0.3338756550393794,0.0,0.0,14.946466445922852,14.54230785369873,1.4168192810501306,2.527142160025071,0.0,0.0,0,0.003071298886108249
28_0,28,0,9983.391233276992,0.0,0.0,0.0,0.0,58.25689646402995,43.68070983886719,14.423773343073158,23.54242974557635,0.0,0.0,0,0.0
28_1,28,1,9983.273240101957,0.0,0.0,0.0,0.0,70.34110260009766,58.092071533203125,15.553903039530628,24.307335325319368,0.0,0.0,0,0.0131749967849688
28_2,28,2,9983.155244228336,0.0,0.0,0.0,0.0,70.50440826416016,62.29285430908203,17.847309800312306,24.563285921935066,0.0,0.0,0,0.014802497326063098
28_3,28,3,9983.0372460058,0.0,0.0,0.0,0.0,54.71500473022461,46.72873306274414,10.684505471148924,21.913028602216855,0.0,0.0,0,0.003112072394590294
28_4,28,4,9982.91924511337,0.0,0.0,0.0,0.0,75.1104751586914,64.64305114746094,15.121602527106193,29.157218699871866,0.0,0.0,0,0.0
28_5,28,5,9982.801241842604,0.0,0.0,0.0,0.0,71.01863098144531,55.0844612121582,14.807122556704636,19.08607876090183,0.0,0.0,0,0.00636286099518123
