시군구코드,읍면동코드,연도,시군구명,읍면동명,인구변화율(인구총조사),인구변화율(인구총조사)등급,노령화지수(인구총조사),노령화지수(인구총조사)등급,종사자수(천명당),종사자수(천명당)등급,사업체당종사자수,사업체당종사자수등급,제조업종사자비율,제조업종사자비율등급,도소매업종사자수(천명당),도소매업종사자수(천명당)등급,소형주택비율,소형주택비율등급,노후주택비율,노후주택비율등급,신규주택비율,신규주택비율등급,인구변화율(주민등록인구통계),인구변화율(주민등록인구통계)등급,노령화지수(주민등록인구통계),노령화지수(주민등록인구통계),고령인구수(인구총조사),고령인구수(인구총조사)등급,고령인구수(주민등록인구통계),고령인구수(주민등록인구통계)등급,노년부양비(인구총조사),노년부양비(인구총조사),노년부양비(주민등록인구통계),노년부양비(주민등록인구통계)등급,경제활동인구(인구총조사),경제활동인구(인구총조사)등급,경제활동인구(주민등록인구통계),경제활동인구(주민등록인구통계)등급,총사업체수증감율,총사업체수증감율등급,총종사자수증감율,총종사자수증감율등급,고차산업종사자비율,고차산업종사자비율등급,주요산업별종사자수,주요산업별종사자수등급,총사업체수,총사업체수등급,부동산공시지가,부동산공시지가등급,접도율,접도율등급,노후건축물비율,노후건축물비율등급,도소매업체증감율,도소매업체증감율등급,제조업체증감율,제조업체증감율등급,기초생활수급자(천인당),기초생활수급자(천인당)등급
11140,11020690,2022,서울특별시 중구,신당동,,,,,2864.006301,10,1.99705693,3,5.480335268,5,1815.437123,10,76.54398004,6,93.49881797,3,9.918902059,6,-0.716799166,6,418.5915493,6,,,1486,7,,,25.72269344,7,,,5777,5,-4.693715195,4,-3.948932424,5,8.261950815,7,13830,10,10873,10,7798583.578,10,7.666527021,3,76.55417407,5,-6.326907301,5,-1.490066225,5,,
11140,11020700,2022,서울특별시 중구,다산동,,,,,561.0063827,6,3.827154047,6,8.350388866,5,114.6652813,6,78.35909631,6,95.01300954,3,2.877526754,5,-2.348166401,5,348.2630273,6,,,2807,5,,,28.46567285,7,,,9861,5,-5.934769444,4,0.598882087,5,3.397462137,5,1785,5,1915,6,4555620.414,9,31.28752502,7,75.13297872,5,-1.25588697,5,2.247191011,6,,
11140,11020710,2022,서울특별시 중구,약수동,,,,,274.3519366,5,3.759130435,6,3.076567199,3,54.65080817,5,80.56124862,7,85.71428571,4,1.276998266,3,-1.685056368,5,286.537077,6,,,3980,4,,,36.09649918,6,,,11026,6,4.816639299,7,4.531722054,6,8.003701133,7,1182,5,1150,5,4562236.279,9,34.97674419,7,84.57142857,4,10.57692308,7,3.125,6,,
11140,11020720,2022,서울특별시 중구,청구동,,,,,361.6183044,5,3.797510373,6,9.79020979,5,68.41427381,5,80.28169014,7,82.77425204,4,1.195049082,3,-2.862820135,5,279.8029557,6,,,2840,5,,,30.39383562,7,,,9344,5,6.481481481,7,13.72408863,8,4.326923077,6,903,5,1205,5,5481009.6,10,23.2,5,82.89962825,4,5.314009662,6,-0.684931507,5,,
11140,11020730,2022,서울특별시 중구,동화동,,,,,429.2697526,5,3.257683215,5,29.05176584,7,127.4940144,6,69.71628945,5,85.66037736,4,2.008288173,5,-2.357295928,5,198.877551,7,,,1949,6,,,27.47004933,7,,,7095,5,4.782608696,7,-0.692360951,5,5.95065312,6,1278,5,1269,5,5894983.08,10,24.53468697,6,88.59813084,3,-5.580357143,5,0.319488818,5,,
11170,11030510,2022,서울특별시 용산구,후암동,,,,,272.4097788,5,3.504187605,5,3.322179732,3,41.66411372,5,75.9377494,6,84.66386555,4,6.045490822,5,-3.041644389,5,225.8358663,7,,,2972,5,,,24.69874512,7,,,12033,6,-0.781860829,5,-0.979955457,5,2.891969407,5,990,5,1194,5,5817373.75,10,32.33513858,7,78,4,-8.244680851,4,-10.90909091,4,,
11170,11030520,2022,서울특별시 용산구,용산2가동,,,,,191.1047028,5,2.516853933,5,1.084183673,3,30.94498669,5,70.49180328,5,85.58758315,4,1.039584166,3,-4.653130288,5,436.8763557,6,,,2014,6,,,30.79039902,6,,,6541,5,-5.835962145,4,-4.701327434,4,2.99744898,5,482,5,623,3,4804071.597,9,36.24567474,8,83.90151515,4,-22.77777778,4,-20,4,,
11170,11030530,2022,서울특별시 용산구,남영동,,,,,2327.605634,9,8.719047619,10,1.680927241,3,337.7464789,8,61.83115339,3,85.29784537,4,0,3,-3.414501428,5,617.6,5,,,1544,7,,,29.09913306,7,,,5306,5,-9.84081042,4,-10.29204212,4,16.09927787,10,2402,6,1890,6,7083969.015,10,22.21927966,5,85.37524054,4,-37.27915194,4,3.614457831,6,,
11170,11030570,2022,서울특별시 용산구,원효로2동,,,,,431.6420529,5,3.888965045,6,1.903419105,3,178.4617634,7,74.07247627,6,87.65799257,4,10.0949094,6,-0.530870482,6,180.1857585,7,,,2328,6,,,23.14575462,7,,,10058,5,-15.17055655,4,-17.72575251,4,3.683468453,5,2441,6,1459,5,4803658.924,9,33.69565217,7,73.72685185,5,-5.308219178,5,6.451612903,6,,
11170,11030580,2022,서울특별시 용산구,효창동,,,,,213.7205622,5,3.313178295,5,2.760879738,3,34.44103137,5,85.1503268,7,2.625298329,10,36.36601307,10,7.033974295,7,136.5684575,7,,,1576,7,,,19.66803944,7,,,8013,5,-3.120849934,4,-10.38251366,4,5.007019186,6,481,5,645,3,6069063.537,10,23.56567093,5,70.17707363,5,-3.684210526,5,50,10,,
