시도코드,시도명,시군구코드,시군구명,기준연도,연도,과거대비인구변화,최근인구변화,과거대비사업체변화,최근사업체변화,노후건축물비율
43,충청북도,43800,충청북도 단양군,2024,2024,-44.85634847,5,-1.498637602,1,64.34833813
44,충청남도,44130,충청남도 천안시,2024,2024,7.6731087,3,1.282033815,0,56.42148819
44,충청남도,44150,충청남도 공주시,2024,2024,-33.22641665,5,2.416343783,0,62.87854037
44,충청남도,44180,충청남도 보령시,2024,2024,-34.84124158,5,1.998616343,1,49.25108884
44,충청남도,44200,충청남도 아산시,2024,2024,3.341746059,0,-0.177847751,1,47.98142331
44,충청남도,44210,충청남도 서산시,2024,2024,3.471293437,3,-1.320490912,1,54.33998436
44,충청남도,44230,충청남도 논산시,2024,2024,-35.09206154,5,3.069929634,0,63.98351376
44,충청남도,44250,충청남도 계룡시,2024,2024,-2.338181468,1,3.62296592,0,47.17336683
44,충청남도,44270,충청남도 당진시,2024,2024,2.150749427,1,-2.090726,1,41.93043284
44,충청남도,44710,충청남도 금산군,2024,2024,-39.5912638,3,-1.46627566,1,68.78832275
44,충청남도,44760,충청남도 부여군,2024,2024,-46.47072912,5,2.038166948,1,73.20835379
44,충청남도,44770,충청남도 서천군,2024,2024,-51.02690338,5,1.844101491,0,57.70538922
44,충청남도,44790,충청남도 청양군,2024,2024,-45.62046512,5,-7.545986622,1,69.53418661
44,충청남도,44800,충청남도 홍성군,2024,2024,-5.825482215,4,1.045956185,0,49.53183857
44,충청남도,44810,충청남도 예산군,2024,2024,-41.96400134,2,2.138886272,0,63.21930522
44,충청남도,44825,충청남도 태안군,2024,2024,-29.37252225,5,1.899846255,1,47.22068911
46,전라남도,46110,전라남도 목포시,2024,2024,-12.09078569,5,-6.775853323,2,82.00005791
46,전라남도,46130,전라남도 여수시,2024,2024,-15.55742286,5,-5.073212224,1,65.92009079
46,전라남도,46150,전라남도 순천시,2024,2024,-0.681254097,4,-1.765120451,2,65.7415672
46,전라남도,46170,전라남도 나주시,2024,2024,-30.88556047,1,-2.244003095,1,67.83099319
46,전라남도,46230,전라남도 광양시,2024,2024,-5.7002748,2,-6.925382552,1,58.82411859
46,전라남도,46710,전라남도 담양군,2024,2024,-41.94570442,5,-4.238038984,1,54.01358832
46,전라남도,46720,전라남도 곡성군,2024,2024,-46.30333756,5,-4.049586777,2,64.54370003
46,전라남도,46730,전라남도 구례군,2024,2024,-42.98275279,5,3.305269722,0,65.40144107
46,전라남도,46770,전라남도 고흥군,2024,2024,-56.30482374,5,4.354023584,1,66.94113973
46,전라남도,46780,전라남도 보성군,2024,2024,-65.07091866,5,0.560112022,1,66.90584593
46,전라남도,46790,전라남도 화순군,2024,2024,-31.89614404,3,-1.491961415,1,63.49391444
46,전라남도,46800,전라남도 장흥군,2024,2024,-49.46400328,5,0.892680024,0,66.03673469
46,전라남도,46810,전라남도 강진군,2024,2024,-54.44526292,5,-5.871692642,2,66.02686289
46,전라남도,46820,전라남도 해남군,2024,2024,-52.85189791,5,1.550902847,1,67.03948334
46,전라남도,46830,전라남도 영암군,2024,2024,-25.66646812,5,-2.391927246,1,63.90153372
46,전라남도,46840,전라남도 무안군,2024,2024,-8.816769431,2,0.010505305,1,65.9084429
46,전라남도,46860,전라남도 함평군,2024,2024,-53.62254521,5,3.972075108,0,52.10993712
46,전라남도,46870,전라남도 영광군,2024,2024,-42.74534118,2,0.101877456,0,56.30510681
46,전라남도,46880,전라남도 장성군,2024,2024,-35.24046703,5,-4.283696846,1,60.26779737
46,전라남도,46890,전라남도 완도군,2024,2024,-47.05601101,5,3.125976868,0,68.61768842
46,전라남도,46900,전라남도 진도군,2024,2024,-49.7921588,4,5.822847274,1,75.36914528
46,전라남도,46910,전라남도 신안군,2024,2024,-66.70409827,3,-0.64061499,1,72.35878441
47,경상북도,47110,경상북도 포항시,2024,2024,-4.424545388,3,-3.719197103,1,59.98148849
47,경상북도,47130,경상북도 경주시,2024,2024,-10.81561184,5,-0.519625128,1,65.43782654
47,경상북도,47150,경상북도 김천시,2024,2024,-10.53850456,5,0.951729286,0,63.69283753
